dataset,weight,N,zmin,zmax,D_geo,D_obs,D_null,sigma_null,zscore,D_phys,angle_deg
SDSS,mass,200000.0,0.020000564,0.09999999,0.598250641633522,0.6278694098669416,0.5982738831893466,0.0015231622775362412,19.43031751381516,0.02959552667759502,1.8173460279964835
SDSS,logmass,200000.0,0.020000564,0.09999999,0.598250641633522,0.5992386148198534,0.5982503732788378,3.341026069211074e-05,29.578983238792215,0.000988241541015622,0.04867956647146291
SDSS,clippedmass,200000.0,0.020000564,0.09999999,0.598250641633522,0.6278574382309051,0.5982754862054078,0.0013420835018772817,22.041811842645114,0.029581952025497293,1.7211177335041095
SDSS,rankmass,200000.0,0.020000564,0.09999999,0.598250641633522,0.6239981757898726,0.5982642217644902,0.0006692269643172265,38.45325337665859,0.025733954025382366,1.4073734318939115
TNG50,mass,3017.0,0.0009484863881567,0.0095922736226885,0.0519380154394616,0.08823343046479358,0.08610028080262497,0.03435773239887217,0.06208645079960618,0.0021331496621686125,2.9849112210978537
TNG50,logmass,3017.0,0.0009484863881567,0.0095922736226885,0.0519380154394616,0.05847655440327401,0.05378656318077289,0.008620445878677748,0.5440543666194325,0.004689991222501119,6.295908944104603
TNG50,clippedmass,3017.0,0.0009484863881567,0.0095922736226885,0.0519380154394616,0.039748507826804294,0.063447251143712,0.021510226624955466,-1.1017430792390253,-0.023698743316907703,8.2600805689175
TNG50,rankmass,3017.0,0.0009484863881567,0.0095922736226885,0.0519380154394616,0.06040120226779438,0.05299299002315338,0.0060599992548224955,1.2224774184164473,0.007408212244640999,4.572802242240314
TNG300,mass,69331.0,0.0017684224245799,0.0594717757903266,0.04991009480986116,0.08581181433638306,0.051595123653325616,0.008474197850728253,4.037749800722076,0.034216690683057445,4.391214246748108
TNG300,logmass,69331.0,0.0017684224245799,0.0594717757903266,0.04991009480986116,0.06104218818824452,0.049979564221233966,0.0018745477904087903,5.901489427803856,0.011062623967010556,1.571414739581793
TNG300,clippedmass,69331.0,0.0017684224245799,0.0594717757903266,0.04991009480986116,0.06777741028436048,0.05030763704639986,0.004176366266946639,4.18300793592341,0.017469773237960617,3.6330770320932255
TNG300,rankmass,69331.0,0.0017684224245799,0.0594717757903266,0.04991009480986116,0.056699235990991484,0.049919836146833624,0.0012480113798086871,5.432161880765144,0.00677939984415786,1.1838066192424794
